A/C/D/U,Valid-From Date,Valid To Date,Offer Display Name,Offer ID,License Agreement Type,Purchase Unit,Secondary License Type,End Customer Type,List Price,ERP Price,Material
UNC,20200401,99991231,Dynamics 365 Sales Enterprise Edition Device (36 mo)​,12f76974-ab7d-4cc4-91ea-3a283ec2eccd,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,684.4,912.5,DGP-00026
UNC,20200401,99991231,Dynamics 365 Sales Enterprise Edition for Faculty,512f56e6-9f94-4345-8a5b-fb74420c7857,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER FACULTY,246.6,328.8,AAA-35800
UNC,20200401,99991231,Dynamics 365 Sales Enterprise Edition for Faculty   (Device),c0fadb1c-9940-4405-9c28-2ed7405cb01b,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER FACULTY,376.4,501.9,AAA-43230
UNC,20200401,99991231,Dynamics 365 Sales Enterprise Edition for Faculty From SA From VL/DPL,9e5d1d49-4896-45ff-9759-14bb2bf05ad5,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER FACULTY,148,197.3,EEL-00005
UNC,20200401,99991231,Dynamics 365 Sales Enterprise Edition for Students,82fd9a89-80aa-4870-a145-ea50564b1a2c,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER STUDENT,179.4,239.1,AAA-35801
UNC,20200401,99991231,Dynamics 365 Sales Enterprise Edition for Students   (Device),f776b4da-d4e3-4f0c-b1d2-d78ebd410a03,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER STUDENT,179.4,239.1,AAA-43231
UNC,20200401,99991231,Dynamics 365 Sales Enterprise Edition for Students From SA From VL/DPL,6cd61c10-b4db-43cc-b7a0-85e90b861c07,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER STUDENT,107.6,143.5,EEL-00004
UNC,20200401,99991231,Dynamics 365 Sales Enterprise Edition From SA From VL/DPL,eb91f559-5f48-4495-aebf-9ac0f413d134,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,269,358.7,DGR-00004
UNC,20200401,99991231,Dynamics 365 Sales Insights,1b828270-9627-4be7-8c8a-58e0be96ee19,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,236,314.7,AAD-32968
UNC,20200401,99991231,Dynamics 365 Sales Insights (Nonprofit Staff Pricing),0e335f28-6106-4be2-b921-10483796213a,Charity,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CHARITY,70.8,78.7,AAD-34815
UNC,20200401,99991231,Dynamics 365 Sales Insights for Faculty,43be9290-a2ef-4943-9c62-4de8cfe367bf,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER FACULTY,129.8,173.1,AAD-32970
UNC,20200401,99991231,Dynamics 365 Sales Insights for Students,7a2e775e-6a7b-40f3-a21b-1b3c2e2493f4,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER STUDENT,94.4,125.9,AAD-32969
UNC,20200401,99991231,Dynamics 365 Sales Professional,f28514f0-6516-4ef9-8222-1c605a05d245,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,306.8,409.1,AAD-34788
UNC,20200401,99991231,Dynamics 365 Sales Professional (36 mo),92281354-3fb1-4894-b040-3f7cfd5d60cc,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,306.8,409.1,NCR-00007
UNC,20200401,99991231,Dynamics 365 Sales Professional (Nonprofit Staff Pricing),a6b49b8a-38be-4341-b05f-fb54c89d7e21,Charity,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CHARITY,92,102.3,AAD-34797
UNC,20200401,99991231,Dynamics 365 Sales Professional (SMB Offer),0acf8d18-7b68-483c-abba-411736e6f0dc,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,228.9,305.2,AAD-56949
UNC,20200401,99991231,Dynamics 365 Sales Professional Attach to Qualifying Dynamics 365 Base Offer,62ba2336-d7be-4339-9a52-727e7cc7c0fe,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,94.4,125.9,SDG-00003
UNC,20200401,99991231,Dynamics 365 Sales Professional Attach to Qualifying Dynamics 365 Base Offer (36 mo),9e4bdc3f-c88f-4f52-8f3f-0ccb6e28ef93,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,94.4,125.9,SDG-00008
UNC,20200401,99991231,Dynamics 365 Sales Professional Attach to Qualifying Dynamics 365 Base Offer (Nonprofit Staff Pricing),a66ba149-97b4-4cc8-8e39-a01e0478a7f3,Charity,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CHARITY,28.3,31.5,SDG-00004
UNC,20200401,99991231,Dynamics 365 Sales Professional Attach to Qualifying Dynamics 365 Base Offer (Qualified Offer) (100 seat minimum requirement),969c6aa1-3273-41e2-95ed-cf41edde8d3f,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,47.2,62.9,SDG-00005
UNC,20200401,99991231,Dynamics 365 Sales Professional Attach to Qualifying Dynamics 365 Base Offer for Faculty,76e6cf04-8975-40eb-8ed6-37f5db93e9a4,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER FACULTY,51.9,69.2,SDH-00003
UNC,20200401,99991231,Dynamics 365 Sales Professional Attach to Qualifying Dynamics 365 Base Offer for Faculty From SA From VL/DPL,c16ea121-f022-4aa8-aec6-323a4022d5bb,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER FACULTY,31.2,41.5,TKJ-00001
UNC,20200401,99991231,Dynamics 365 Sales Professional Attach to Qualifying Dynamics 365 Base Offer for Students,e51963b6-7926-455b-8fb0-c651251d7199,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER STUDENT,37.8,50.3,SDH-00004
UNC,20200401,99991231,Dynamics 365 Sales Professional Attach to Qualifying Dynamics 365 Base Offer for Students From SA From VL/DPL,cf0c24ae-afc2-498c-a3ea-a6af9c1d4298,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER STUDENT,22.7,30.2,TKJ-00002
UNC,20200401,99991231,Dynamics 365 Sales Professional Attach to Qualifying Dynamics 365 Base Offer From SA From VL/DPL,5b4440f5-61f2-4f98-8991-a0048c3facfe,Corporate,1 Month(s),NON-SPECIFIC,CLOUD RESELLER CORPORATE,56.6,75.5,TKH-00002
UNC,20200401,99991231,Dynamics 365 Sales Professional for Faculty,45cf3a0b-260f-45d9-ae91-b82217e03612,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER FACULTY,168.7,225,AAD-34790
UNC,20200401,99991231,Dynamics 365 Sales Professional for Faculty From SA From VL/DPL,cc879452-32bf-4ac0-b8c1-cd16e72b02c7,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER FACULTY,101.2,135,NCW-00003
UNC,20200401,99991231,Dynamics 365 Sales Professional for Students,8bc28c55-52ea-474a-b732-968a1d6056c8,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER STUDENT,122.7,163.6,AAD-34789
UNC,20200401,99991231,Dynamics 365 Sales Professional for Students From SA From VL/DPL,226c3fe7-fc69-49d1-9651-200bd6a4766a,Academic,1 Month(s),NON-SPECIFIC,CLOUD RESELLER STUDENT,73.6,98.2,NCW-00002
