Customer,Description,Total_Amount_Excl_VAT,Unit_Price,PCToBCExchangeRate,Quantity,Rackpeople Markup,Rackpeople Markup Unit Price,Rackpeople Markup Total Price,Rackpeople Markup Diff
CANEA ApS,Exchange Online (plan 1) - Monthly - Exchange Online (Plan 1) - Cycle fee  9/19/2022-10/18/2022  September   ,301.5,20.1,n/a,
Kiltin,Office 365 Business - Monthly - Microsoft 365 Apps for business - Cycle fee  9/20/2022-10/19/2022  September   ,368.2,52.6,n/a,
NORDIC Shipping & Logistics,Exchange Online (plan 1) - Monthly - Exchange Online (Plan 1) - Cycle fee  9/21/2022-10/20/2022  September   ,60.3,20.1,n/a,
NORDIC Shipping & Logistics,OneDrive for Business (Plan 1) - Monthly - OneDrive for business (Plan 1) - Cycle fee  9/21/2022-10/20/2022  September   ,25.2,25.2,n/a,
NORDIC Shipping & Logistics,Office 365 Business Premium - Monthly - Microsoft 365 Business Standard - Cycle fee  9/21/2022-10/20/2022  September   ,377.4,62.9,n/a,
INTERN A/S,Exchange Online (plan 1) - Monthly - Exchange Online (Plan 1) - Cycle fee  9/21/2022-10/20/2022  September   ,301.5,20.1,n/a,
Plustid ApS,Office 365 Business Premium - Monthly - Microsoft 365 Business Standard - Cycle fee  9/21/2022-10/20/2022  September   ,188.7,62.9,n/a,
Safe Online ApS,Office 365 Enterprise E1 - Monthly - Office 365 E1 - Cycle fee  9/21/2022-10/20/2022  September   ,765.7,40.3,n/a,
Safe Online ApS,Office 365 Enterprise E3 - Monthly - Office 365 E3 - Cycle fee  9/21/2022-10/20/2022  September   ,351.6,117.2,n/a,
Safe Online ApS,Exchange Online (plan 1) - Monthly - Exchange Online (Plan 1) - Cycle fee  9/27/2022-10/26/2022  September   ,20.1,20.1,n/a,
Safe Online ApS,Visio Plan 1 - Monthly - Visio Plan 1 - Cycle fee 9/27/2022-10/26/2022  September   ,25.2,25.2,n/a,
Petitlilo ApS,Exchange Online (plan 1) - Monthly - Exchange Online (Plan 1) - Cycle fee  9/23/2022-10/22/2022  September   ,20.1,20.1,n/a,
RackpeopleTest,Microsoft Teams Phone Standard - Monthly - Microsoft Teams Phone Standard - Cycle fee  9/26/2022-10/25/2022  September   ,161.2,40.3,n/a,
RackpeopleTest,Microsoft 365 Business Premium - Monthly - Microsoft 365 Business Premium - Cycle fee  9/26/2022-10/25/2022  September   ,100.7,100.7,n/a,
Novigo,Microsoft 365 Business Basic - Annually - Microsoft 365 Business Basic - Cycle instance prorate  8/26/2022-8/29/2022  September   ,3.31,3.31,n/a,
Novigo,Microsoft 365 Business Basic - Annually - Microsoft 365 Business Basic - Cycle instance prorate  8/30/2022-9/25/2022  September   ,44.74,22.37,n/a,
Novigo,Microsoft 365 Business Basic - Annually - Microsoft 365 Business Basic - Cycle instance prorate  9/26/2022-1/25/2023  September   ,202.15,101.07,n/a,
Novigo,Microsoft 365 Business Basic - Annually - Microsoft 365 Business Basic - Cycle instance prorate  8/26/2022-1/25/2023  September   ,-126.76,-126.76,n/a,
Amgros,Microsoft Defender Advanced Threat Protection - Monthly - Microsoft Defender for Endpoint P2 - Cycle fee  10/1/2022-10/31/2022  September   ,5240,26.2,n/a,
Buck-Arentsen Holding ApS,Exchange Online (plan 2) - Monthly - Exchange Online (Plan 2) - Cycle fee  10/1/2022-10/31/2022  September   ,40.3,40.3,n/a,
Buck-Arentsen Holding ApS,Office 365 Business Premium - Monthly - Microsoft 365 Business Standard - Cycle fee  10/1/2022-10/31/2022  September   ,125.8,62.9,n/a,
Nordic Bioscience,Microsoft Cloud App Security - Monthly - Microsoft Defender for Cloud Apps - Cycle fee  10/1/2022-10/31/2022  September   ,17.6,17.6,n/a,
