Customer,Description,Total_Amount_Excl_VAT,Unit_Price,PCToBCExchangeRate,Quantity,Rackpeople Markup,Rackpeople Markup Unit Price,Rackpeople Markup Total Price,Rackpeople Markup Diff
Norli Liv og Pension Livsforsikring A/S,Microsoft Defender for Office 365 (Plan 1) - Microsoft Defender for Office 365 (Plan 1) - addQuantity  7/13/2022-7/31/2022  July   ,657.05,10.08,1,85.00,25.0,7.73,656.63,131.33
Norli Liv og Pension Livsforsikring A/S,Microsoft 365 E3 - Microsoft 365 E3 - addQuantity 7/13/2022-8/11/2022  July   ,21683.5,210.88,1,85.00,25.0,255.10,21683.50,4336.70
Norli Liv og Pension Livsforsikring A/S,Microsoft Teams Phone Resource Account - Microsoft Teams Phone Resource Account - cycleCharge  7/28/2022-8/27/2022  July   ,0,0,1,50.00,25.0,0.00,0.00,0.00
Norli Liv og Pension Livsforsikring A/S,Exchange Online (Plan 1) - Exchange Online (Plan 1) - cycleCharge  7/10/2022-8/9/2022  July   ,100.8,20.16,1,4.00,25.0,25.20,100.80,20.16
Norli Liv og Pension Livsforsikring A/S,Microsoft 365 E3 - Microsoft 365 E3 - addQuantity 7/13/2022-8/11/2022  July   ,-21428.4,210.88,1,84.00,25.0,-255.10,-21428.40,-4285.68
Norli Liv og Pension Livsforsikring A/S,Microsoft Teams Phone Standard - Microsoft Teams Phone Standard - renew  7/28/2022-8/27/2022  July   ,2655.84,48.29,1,44.00,25.0,60.36,2655.95,531.19
Norli Liv og Pension Livsforsikring A/S,Windows 365 Enterprise - Windows 365 Enterprise 4 vCPU; 16 GB; 512 GB - cycleCharge  7/12/2022-8/11/2022  July   ,656.46,525.17,1,1.00,25.0,656.46,656.46,131.29
Norli Liv og Pension Livsforsikring A/S,Microsoft 365 F3 - Microsoft 365 F3 - cycleCharge 7/1/2022-7/31/2022  July   ,201.2,40.24,1,4.00,25.0,50.30,201.20,40.24
Norli Liv og Pension Livsforsikring A/S,Microsoft 365 E3 - Microsoft 365 E3 - cycleCharge 7/12/2022-8/11/2022  July   ,22142.4,210.88,1,84.00,25.0,263.60,22142.40,4428.48
Fonden af 28. maj 1948,Bandwidth - Bandwidth - new 7/1/2022-7/31/2022  July   ,0,0,7.07505,0.00,25.0,0.00,0.00,0.00
Fonden af 28. maj 1948,Blob Storage - Blob Storage - Hot LRS - EU West - new  7/1/2022-7/31/2022  July   ,0,0.054,7.07505,0.00,25.0,0.41,0.00,0.00
Fonden af 28. maj 1948,Bandwidth - Bandwidth - new 7/1/2022-7/31/2022  July   ,0,0.087,7.07505,0.00,25.0,0.00,0.00,0.00
Fonden af 28. maj 1948,Blob Storage - Blob Storage - Hot LRS - EU West - new  7/1/2022-7/31/2022  July   ,0,0.0043,7.07505,0.02,25.0,0.03,0.00,0.00
Fonden af 28. maj 1948,Files - Files - LRS - new 7/1/2022-7/31/2022  July   ,0,0.0015,7.07505,0.00,25.0,0.01,0.00,0.00
Fonden af 28. maj 1948,Tables - Tables - LRS - new 7/1/2022-7/31/2022  July   ,0,0.045,7.07505,0.00,25.0,0.34,0.00,0.00
Fonden af 28. maj 1948,Tables - Tables - LRS - new 7/1/2022-7/31/2022  July   ,0,0.00036,7.07505,0.40,25.0,0.00,0.00,0.00
Fonden af 28. maj 1948,Tables - Tables - LRS - new 7/1/2022-7/31/2022  July   ,0,0.00036,7.07505,0.00,25.0,0.00,0.00,0.00
Fonden af 28. maj 1948,Tables - Tables - LRS - new 7/1/2022-7/31/2022  July   ,0,0.00036,7.07505,0.00,25.0,0.00,0.00,0.00
Fonden af 28. maj 1948,Blob Storage - Blob Storage - Hot LRS - EU West - new  7/1/2022-7/31/2022  July   ,0,0.054,7.07505,0.00,25.0,0.41,0.00,0.00
Fonden af 28. maj 1948,Blob Storage - Blob Storage - Hot LRS - EU West - new  7/1/2022-7/31/2022  July   ,0,0.0043,7.07505,0.00,25.0,0.03,0.00,0.00
Fonden af 28. maj 1948,Azure plan - Azure plan - new 7/5/2022-12/31/9999  July   ,0,0,7.07505,1.00,25.0,0.00,0.00,0.00
SBC-Teams GoWingu,Standard SSD Managed Disks - Standard SSD Managed Disks - E4 LRS - EU West - new  7/1/2022-7/31/2022  July   ,35.99,2.4,7.07505,2.00,0.00,14.43,28.86,0.07
SBC-Teams GoWingu,Standard HDD Managed Disks - Standard HDD Managed Disks - S4 LRS - new  7/1/2022-7/31/2022  July   ,4.5,0.0005,7.07505,1200.83,0.00,0.00,3.61,0.01
SBC-Teams GoWingu,Standard HDD Managed Disks - Standard HDD Managed Disks - S6 LRS - EU West - new  7/1/2022-7/31/2022  July   ,67.74,3.008,7.07505,3.00,0.00,18.09,54.26,0.07
